MAMR000001	gene=emrC_Lis|protein_id=EAC4468893.1|type=AMR|phenotype=quaternary_ammonium|mechanism=efflux|source=AMRFinder
MAMR000002	gene=arsR_LGI2_1|protein_id=EGO5141043.1|type=AMR|phenotype=arsenite|mechanism=other|source=AMRFinder
MAMR000003	gene=mcr-9.2|protein_id=MBO4175406.1|type=AMR|phenotype=colistin|mechanism=other|source=AMRFinder
MAMR000004	gene=entFM|protein_id=MBY0597968.1|type=AMR|phenotype=|mechanism=other|source=AMRFinder
MAMR000005	gene=sel27|protein_id=NDR16746.1|type=AMR|phenotype=|mechanism=other|source=AMRFinder
MAMR000006	gene=sel28|protein_id=NDR16747.1|type=AMR|phenotype=|mechanism=other|source=AMRFinder
MAMR000007	gene=blaLEN-42|protein_id=WP_061154665.1|type=AMR|phenotype=beta-lactam|mechanism=enzyme|source=AMRFinder
MAMR000008	gene=blaTEM-156|protein_id=WP_061158039.1|type=AMR|phenotype=beta-lactam|mechanism=enzyme|source=AMRFinder
MAMR000009	gene=blaPDC-114|protein_id=WP_061189306.1|type=AMR|phenotype=cephalosporin|mechanism=enzyme|source=AMRFinder
MAMR000010	gene=blaPDC-226|protein_id=WP_061190338.1|type=AMR|phenotype=cephalosporin|mechanism=enzyme|source=AMRFinder
MAMR000011	gene=blaPDC-116|protein_id=WP_061193023.1|type=AMR|phenotype=cephalosporin|mechanism=enzyme|source=AMRFinder
MAMR000012	gene=blaPDC-298|protein_id=WP_061193431.1|type=AMR|phenotype=cephalosporin|mechanism=enzyme|source=AMRFinder
MAMR000013	gene=blaPDC-97|protein_id=WP_061196139.1|type=AMR|phenotype=cephalosporin|mechanism=enzyme|source=AMRFinder
MAMR000014	gene=blaPDC-184|protein_id=WP_061199990.1|type=AMR|phenotype=cephalosporin|mechanism=enzyme|source=AMRFinder
MAMR000015	gene=beta-4|protein_id=ABF69110.1|type=AMR|phenotype=kappa|mechanism=other|source=AMRFinder
MAMR000016	gene=epsilon-7|protein_id=ABF69117.1|type=AMR|phenotype=xi|mechanism=other|source=AMRFinder
MAMR000017	gene=epsilon-2|protein_id=ABF69121.1|type=AMR|phenotype=epsilon|mechanism=other|source=AMRFinder
MAMR000018	gene=alpha-5|protein_id=ABF69122.1|type=AMR|phenotype=nu|mechanism=other|source=AMRFinder
MAMR000019	gene=blaKLUC-1|protein_id=WP_061284984.1|type=AMR|phenotype=cephalosporin|mechanism=enzyme|source=AMRFinder
MAMR000020	gene=cml_Ochro|protein_id=WP_061345584.1|type=AMR|phenotype=chloramphenicol|mechanism=efflux|source=AMRFinder
MAMR000021	gene=fosA7.6|protein_id=WP_061377147.1|type=AMR|phenotype=fosfomycin|mechanism=other|source=AMRFinder
MAMR000022	gene=blaCMY-84|protein_id=WP_061547590.1|type=AMR|phenotype=cephalosporin|mechanism=enzyme|source=AMRFinder
MAMR000023	gene=qnrE1|protein_id=WP_061586512.1|type=AMR|phenotype=quinolone|mechanism=other|source=AMRFinder
MAMR000024	gene=blaTEM-95|protein_id=WP_061659705.1|type=AMR|phenotype=beta-lactam|mechanism=enzyme|source=AMRFinder
MAMR000025	gene=blaRAA-1|protein_id=WP_061710074.1|type=AMR|phenotype=cephalosporin|mechanism=enzyme|source=AMRFinder
MAMR000026	gene=blaERP-1|protein_id=WP_062743204.1|type=AMR|phenotype=cephalosporin|mechanism=enzyme|source=AMRFinder
MAMR000027	gene=blaDHA-22|protein_id=WP_062771895.1|type=AMR|phenotype=cephalosporin|mechanism=enzyme|source=AMRFinder
MAMR000028	gene=subB|protein_id=KYU89760.1|type=AMR|phenotype=|mechanism=other|source=AMRFinder
MAMR000029	gene=arsN1a|protein_id=KYZ65872.1|type=AMR|phenotype=arsenic|mechanism=other|source=AMRFinder
MAMR000030	gene=blaADC-151|protein_id=WP_063099318.1|type=AMR|phenotype=cephalosporin|mechanism=enzyme|source=AMRFinder
MAMR000031	gene=blaCTX-M-140|protein_id=WP_063108644.1|type=AMR|phenotype=|mechanism=enzyme|source=AMRFinder
MAMR000032	gene=blaOXA-163|protein_id=WP_063131934.1|type=AMR|phenotype=carbapenem|mechanism=enzyme|source=AMRFinder
MAMR000033	gene=blaACT-14|protein_id=WP_063138000.1|type=AMR|phenotype=cephalosporin|mechanism=enzyme|source=AMRFinder
MAMR000034	gene=blaACT-67|protein_id=WP_063147148.1|type=AMR|phenotype=cephalosporin|mechanism=enzyme|source=AMRFinder
MAMR000035	gene=blaACT-109|protein_id=WP_063157039.1|type=AMR|phenotype=cephalosporin|mechanism=enzyme|source=AMRFinder
MAMR000036	gene=blaLEN-25|protein_id=WP_063266839.1|type=AMR|phenotype=beta-lactam|mechanism=enzyme|source=AMRFinder
MAMR000037	gene=fosA8|protein_id=WP_063277905.1|type=AMR|phenotype=fosfomycin|mechanism=other|source=AMRFinder
MAMR000038	gene=ampC_Kaer|protein_id=WP_063406924.1|type=AMR|phenotype=cephalosporin|mechanism=enzyme|source=AMRFinder
